#mpa_v30_CHOCOPhlAn_201901
#/shares/CIBIO-Storage/CM/scratch/users/francesco.beghini/git/metaphlan/metaphlan.py --nproc 4 --input_type multifastq --bowtie2db /shares/CIBIO-Storage/CM/scratch/users/francesco.beghini/hg/chocophlan/export_201901/metaphlan2/mpa_v30_CHOCOPhlAn_201901 --index mpa_v30_CHOCOPhlAn_201901 --force --bowtie2_exe /shares/CIBIO-Storage/CM/scratch/users/francesco.beghini/bowtie2-2.3.4.3-linux-x86_64/bowtie2 --bowtie2out /shares/CIBIO-Storage/CM/scratch/data/meta/AsnicarF_2017/metaphlan-3.0_v30_CHOCOPhlAn_201901/MV_FEM4_t2Q15/MV_FEM4_t2Q15.bowtie2.bz2 --samout /shares/CIBIO-Storage/CM/scratch/data/meta/AsnicarF_2017/metaphlan-3.0_v30_CHOCOPhlAn_201901/MV_FEM4_t2Q15/MV_FEM4_t2Q15.sam.bz2 -o /shares/CIBIO-Storage/CM/scratch/data/meta/AsnicarF_2017/metaphlan-3.0_v30_CHOCOPhlAn_201901/MV_FEM4_t2Q15/MV_FEM4_t2Q15_profile.tsv
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance
k__Bacteria	2	99.99234	
k__Archaea	2157	0.00766	
k__Bacteria|p__Actinobacteria	2|201174	46.85325	
k__Bacteria|p__Bacteroidetes	2|976	32.44758	
k__Bacteria|p__Firmicutes	2|1239	20.0268	
k__Bacteria|p__Proteobacteria	2|1224	0.6518	
k__Bacteria|p__Synergistetes	2|508458	0.01291	
k__Archaea|p__Euryarchaeota	2157|28890	0.00766	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	40.92479	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	32.44758	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	16.90104	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	5.92846	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.70956	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.00662	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.38	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified		0.3137	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.16714	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.09547	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.0831	
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified		0.02156	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.01291	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.00766	
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.0004	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	40.85935	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	32.44758	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	16.90104	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	5.7938	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.70484	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.72445	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.38	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified		0.3137	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.2495	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.16714	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.13466	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.09547	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.0831	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.06545	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.03267	
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified		0.02156	
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	2|508458|649775|649776	0.01291	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.00766	
