#mpa_v30_CHOCOPhlAn_201901
#/shares/CIBIO-Storage/CM/scratch/users/francesco.beghini/git/metaphlan/metaphlan.py --nproc 4 --input_type multifastq --bowtie2db /shares/CIBIO-Storage/CM/scratch/users/francesco.beghini/hg/chocophlan/export_201901/metaphlan2/mpa_v30_CHOCOPhlAn_201901 --index mpa_v30_CHOCOPhlAn_201901 --force --bowtie2_exe /shares/CIBIO-Storage/CM/scratch/users/francesco.beghini/bowtie2-2.3.4.3-linux-x86_64/bowtie2 --bowtie2out /shares/CIBIO-Storage/CM/scratch/data/meta/AsnicarF_2017/metaphlan-3.0_v30_CHOCOPhlAn_201901/MV_FEM3_t1Q14/MV_FEM3_t1Q14.bowtie2.bz2 --samout /shares/CIBIO-Storage/CM/scratch/data/meta/AsnicarF_2017/metaphlan-3.0_v30_CHOCOPhlAn_201901/MV_FEM3_t1Q14/MV_FEM3_t1Q14.sam.bz2 -o /shares/CIBIO-Storage/CM/scratch/data/meta/AsnicarF_2017/metaphlan-3.0_v30_CHOCOPhlAn_201901/MV_FEM3_t1Q14/MV_FEM3_t1Q14_profile.tsv
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance
k__Bacteria	2	91.50829	
k__Archaea	2157	8.49171	
k__Bacteria|p__Bacteroidetes	2|976	71.71365	
k__Bacteria|p__Firmicutes	2|1239	17.87047	
k__Archaea|p__Euryarchaeota	2157|28890	8.49171	
k__Bacteria|p__Actinobacteria	2|201174	1.45561	
k__Bacteria|p__Proteobacteria	2|1224	0.46324	
k__Bacteria|p__Lentisphaerae	2|256845	0.00532	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	71.71365	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	14.05281	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	8.49171	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified		3.14243	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.45561	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.41076	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.31497	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.20201	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.12764	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.03883	
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.02362	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.02063	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.00532	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	71.71365	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	14.05281	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	8.49171	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified		3.14243	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.32868	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.41076	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.2991	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.20061	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2|1224|29547|213849	0.12764	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.12693	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.03883	
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	2|1239|1737404|1737405	0.02362	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.02063	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.01587	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales	2|256845|1313211|278082	0.00532	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.0014	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	51.40817	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	10.35329	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	10.33685	
