NCBI_ID	MV_FEI1_t1Q14	MV_FEI2_t1Q14	MV_FEI3_t1Q14	MV_FEI4_t1Q14	MV_FEI4_t2Q15	MV_FEI5_t1Q14	MV_FEI5_t2Q14	MV_FEI5_t3Q15	MV_FEM1_t1Q14	MV_FEM2_t1Q14	MV_FEM3_t1Q14	MV_FEM4_t1Q14	MV_FEM4_t2Q15	MV_FEM5_t1Q14	MV_FEM5_t2Q14	MV_FEM5_t3Q15	MV_MIM1_t1M14	MV_MIM2_t1M14	MV_MIM3_t1M14	MV_MIM4_t1M14	MV_MIM4_t2F15	MV_MIM5_t1M14	MV_MIM5_t2M14	MV_MIM5_t3F15
375288	0	0	0	0	0	0	6.62109	0.06601	0.45812	2.25283	10.35329	1.45419	1.11166	0.05123	0	2.80846	0	0	0	0	0	0	0	0.13875
1730	0	0	0	0	0	0	3.85922	4.12145	0.53057	6.61212	0.22511	0.58149	1.06566	3.00983	0.75016	3.38877	0	0	0	0	0	0	0	0
1263	0	0	0	0	0	0	2.10992	1.91232	0	2.96162	1.89601	0	0	2.09226	0.36556	8.53036	0	0	0	0	0	0	0	0
841	0	0	0	0	0	0	1.48188	1.64535	0.97528	2.11683	0.32838	0.03504	0	1.99471	3.02734	1.95313	0	0	0	0	0	0	0	0
283168	0	0	0	0	0	0	1.34151	0	0.22148	1.16794	1.05061	0.00819	0.52687	0.00628	0	0.97159	0	0	0	0	0	0	0	0
577310	0	0	0	0	0	0	1.15013	0.09521	3.1e-4	0	0	0.39567	0.35587	0.03818	17.35851	0.45318	0	0	0	0	0	0	0	0
1573535	0	0	0	0	0	0	0.91616	0.89073	0.0015	0	0.02162	0	0	0	0	2.48949	0	0	0	0	0	0	0	0
216851	0	0	0	0	0	0	0.89957	5.81342	0.7997	5.85533	0.73003	2.50178	3.3432	13.15305	0	5.90977	0	0	0	0	0	0	0	0
239934	0	0	0	0	0	0	0.85706	0.0069	0.02248	0.03979	0	0	0	1.41019	0	4.40925	0	0	0	0	0	0	0	0
33042	0	0	0	0	0	0	0.61024	1.30782	0.04543	5.12566	0.54069	0.06186	0.90793	22.45432	0.61735	11.8433	0	0	0	0	0	0	0	0
39948	0	0	0	0	0	0	0.50252	0.04675	0	0	0	0	0	0.30721	0	0.26589	0	0	0	0	0	0	0	0
459786	0	0	0	0	0	0	0.43788	0	0	2.277	0.40065	0.11143	0.32087	1.69358	0	0.65136	0	0	0	0	0	0	0	0
1348911	0	0	0	0	0	0	0.2652	0	8.2e-4	0.05563	0.07415	0.03794	0.09631	0	0	0.05278	0	0	0	0	0	0	0	0
1905344	0	0	0	0	0	0	0.25216	0	0.23707	0.15859	1.10402	0.05655	0.02426	0.094	0	0.02628	0	0	0	0	0	0	0	0
1918598	0	0	0	0	0	0	0.05418	0.00204	0	0	0	0.00425	0.00928	0	0.63625	0.02644	0	0	0	0	0	0	0	0
35832	0	0	0	0	0	0	0.05317	0	0	0	0	0	0.0831	0	0	0.05869	0	0	0	0	0	0	0	0
1407607	0	0	0	0	0	0	0.04148	2.21698	0.09111	0.4942	0.22088	0.01304	2.59439	2.74431	0.01761	1.567	0	0	0	0	0	0	0	0
204475	0	0	0	0	0	0	0.04023	0	0.05645	0.06305	0.09097	0	0.00166	0.65296	0	0.03484	0	0	0	0	0	0	0	0
2172004	0	0	0	0	0	0	0.04008	0	0	0.01995	0.00572	0	0.02501	0.02476	0	0.04722	0	0	0	0	0	0	0	0
189330	0	0	0	0	0	0	0.02598	1.03387	0.05589	0.51833	0.45092	0.07129	1.44303	3.52383	0	1.98892	0	0	0	0	0	0	0	0
2172	0	0	0	0	0	0	0.01411	0	0.04414	16.65524	8.49171	0	0.00766	0.03421	0	0.27256	0	0	0	0	0	0	0	0
1924093	0	0	0	0	0	0	0.01236	0	0	0	0.93008	0	0	0.00838	0	0.00124	0	0	0	0	0	0	0	0
1392389	0	0	0	0	0	0	0.01211	0	0.16636	0.00454	0	0	0.01319	0	0	0.00517	0	0	0	0	0	0	0	0
846	0	0	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
