"attribute"	"attribute_group"	"validity"	"ontology"	"description"
"discoid"	"shape"	"logical"	"PATO:0001874"	"A shape quality inhering in a bearer by virtue of the bearer's being cylindrical, in which the height is less than the diameter."
"dumbbell-shaped"	"shape"	"logical"	"PATO:0001876"	"A concave 3-D shape quality inhering in a bearer by virtue of the bearer's having two parts, roughly spherical and of equal size, connected by a bar."
"filamentous"	"arrangement;shape"	"logical"	"PATO:0001360"	"A shape quality inhering in a bearer by virtue of the bearer's having thin filamentous extensions at its edge."
"flat"	"shape"	"logical"	"PATO:0000407"	"A quality inhering in a bearer by virtue of the bearer's having a horizontal surface without a slope, tilt, or curvature."
"u-shaped"	"shape"	"logical"	"PATO:0001879"	"A concave 3-D shape quality inhering in a bearer by virtue of the bearer's being shaped in the form of the letter U."
"pleiomorphic cell"	"shape"	"logical"	"MICRO:0000427"	"A prokaryotic cell that is irregular in shape, where the shapes of the cells are irregular and variable (pleomorphic). Cell shapes may be variable in size and shape, depending on the environmental conditions."
"polyhedral shape"	"shape"	"logical"	"OMP:0005394"	"A capsid morphology phenotype where the capsid is shaped like a polyhedron which is a solid formed by plane faces."
"sigmoid"	"shape;spore shape"	"logical"	"PATO:0001878"	"A shape quality inhering in a bearer by virtue of the bearer's consisting of two curves, in opposite directions. S-shaped"
"rectangle"	"shape"	"logical"	"SIO:000518"	"A rectangle is a quadrilateral in which one pair of line segments are parallel and the other pair are perpendicular to the first pair."
"tetrahedral"	"shape"	"logical"	"ENM:9000065"	NA
"triangle"	"shape"	"logical"	"SIO:000520"	"A triangle is a polygon composed of three points and three line segments, in which each point is fully connected to another point along through the line segment."
"vibriod cells"	NA	"logical"	"MICRO:0000414"	"A prokaryotic cell, being a bacillus where the elongated axis of the cells is curved (but not spiral)."
"wrinkled"	"shape"	"logical"	"PATO:0001810"	"A grooved texture quality inhering in a bearer by virtue of the bearer's being marked by one or more creases in a normally smooth surface."
"animal pathogen"	"animal pathogen"	"logical"	NA	NA
"extreme environment"	NA	"logical"	NA	NA
"COGEM pathogenicity rating"	"COGEM pathogenicity rating"	"integer"	NA	NA
"antimicrobial sensitivity"	"antimicrobial sensitivity"	"logical"	NA	NA
"biofilm formation"	"biofilm formation"	"logical"	"APO:0000159"	"The ability to form a layer on solid surfaces with or without other microorganisms."
"Butyrate-Producing Bacteria"	"Butyrate-Producing Bacteria;butyrate producing"	"numeric"	"NCIT:C126417"	"Any anaerobic bacteria that metabolizes complex carbohydrates to produce butyrate. These microorganisms may form colonies in the intestines of mammals; their presence may aid the host by catabolizing undigested fiber and starch. Additionally, butyrate is metabolized by colonic epithelial cells and may protect the host against ulcerative colitis and cancer."
"acetate producing"	"acetate producing"	"numeric"	NA	NA
"lactate producing"	"lactate producing"	"numeric"	NA	NA
"mutation rate per site per year"	"mutation rates per site per year"	"numeric"	NA	NA
"mutation rate per site per generation"	"mutation rate per site per generation"	"numeric"	NA	NA
"hydrogen gas producing"	"hydrogen gas producing"	"numeric"	NA	NA
"width"	"width"	"numeric"	"PATO:0000921"	"A 1-D extent quality which is equal to the distance from one side of an object to another side which is opposite."
"length"	"length"	"numeric"	"PATO:0000122"	"A 1-D extent quality which is equal to the distance between two points"
"fatty acid composition"	NA	"logical"	NA	NA
"human urine"	"habitat;isolation site"	"logical"	"MCO:0000662"	"No definition provided"
"v-formation"	"arrangement"	"logical"	NA	NA
"extreme environment"	"extreme environemnt"	"logical"	NA	NA
"gut"	NA	"logical"	"OHMI:0000020"	"A human being's gut microbiota contains tens of trillions of microorganisms, including at least 1000 different species of known bacteria with more than 3 million genes (150 times more than human genes). Microbiota can, in total, weigh up to 2 kg. One third of our gut microbiota is common to most people, while two thirds are specific to each one of us. In other words, the microbiota in your intestine is like an individual identity card. URL: http://www.gutmicrobiotaforhealth.com/en/about-gut-microbiota-info/"
"rumen"	"habitat;isolation site"	"logical"	"NCIT:C98778"	"Largest forestomach of ruminants where bacterial fermentation occurs"
"Health associated"	"health associated"	"logical"	NA	NA
"shape"	NA	"logical"	NA	NA
"Extreme environment"	"extreme environment"	"logical"	NA	NA
"mrs broth"	"growth medium"	"logical"	NA	NA
"ZoBell marine agar"	"growth medium"	"logical"	NA	NA
"growth temperature"	"growth temperature"	"numeric"	NA	NA
"oral"	"habitat"	"logical"	NA	NA
"optimal ph"	"optimal ph"	"numeric"	NA	NA
"plant pathogenicity"	"plant pathogenicity"	"numeric"	NA	NA
"blade of grass from raritan river nj, usa"	"isolation site"	"logical"	NA	NA
"hot swamp from kunashir island, russia"	"isolation site"	"logical"	NA	NA
"30-m-tall sulfide mound in the iheya north field, japan"	"isolation site"	"logical"	NA	NA
"2500m depth from the sulu trough"	"isolation site"	"logical"	NA	NA
"5m depth in mediterranean sea"	"isolation site"	"logical"	NA	NA
"20-40000 year old serbian permafrost in russia, siberia, kolyma lowland"	"isolation site"	"logical"	NA	NA
"1940s by lilleengen"	"isolation site"	"logical"	NA	NA
"30-m-tall sulfide mound in the iheya north field, japan (water depth, 1,000 m)"	NA	"logical"	NA	NA
"tumors"	NA	"logical"	NA	NA
"Genome size"	"genome size"	"numeric"	"OMIT:0027643"	NA
"genes"	"coding genes"	"numeric"	"OMIT:0006994"	NA
"environmental system"	"habitat"	"logical"	"ENVO:01000254"	"A system which has the disposition to environ one or more material entities."
"host-associated"	"host-associated"	"logical"	NA	NA
"food product"	"habitat;isolation site"	"logical"	"FOODON:00001002"	"Food material for humans and animals which is processed with the intention that it be consumable as a whole or added to other food products."
"plant matter"	"habitat"	"logical"	"ENVO:01001121"	"Organic material which is primarily composed of plant structures, living or dead."
"blood"	"habitat;isolation site"	"logical"	"UBERON:0000178"	"A fluid that is composed of blood plasma and erythrocytes."
"hydrothermal vents"	"habitat;isolation site"	"logical"	"OMIT:0027720"	NA
"ocean"	NA	"logical"	"ENVO:00000015"	"A marine water body which is constitutes the majority of an astronomical body's hydrosphere."
"saline evaporation pond"	"habitat"	"logical"	"ENVO:00000055"	"A shallow man-made pond designed to produce salt from sea water. The seawater is fed into large ponds and water is drawn out through natural evaporation which allows the salt to be subsequently harvested."
"phylloplane"	"habitat"	"logical"	NA	NA
"respiratory system"	"habitat"	"logical"	"NCIT:C12779"	"The organs involved in the exchange of carbon dioxide and oxygen including the trachea, bronchi, and lung parenchyma."
"insect endosymbiont"	"habitat"	"logical"	NA	NA
"sediment"	"habitat;isolation site"	"logical"	NA	NA
"root"	"habitat"	"logical"	"PO:0009005"	"A plant axis (PO:0025004) that lacks shoot axis nodes (PO:0005004) and usually grows indeterminately."
"nasopharyngeal cavity"	"habitat"	"logical"	"EHDAA2:0004555"	NA
"plant symbiont"	NA	"logical"	NA	NA
"bioremediation"	"habitat"	"logical"	NA	NA
"free-living"	"habitat"	"logical"	NA	NA
"secondary"	"habitat"	"logical"	NA	NA
"fish"	"habitat;isolation site"	"logical"	"NCIT:C14207"	"A grouping of jawed and jawless vertebrate animals usually having fins and a covering of scales or plates, breathing by means of gills, and living almost entirely in the water."
"feces"	"habitat;isolation site"	"logical"	"FMA:64183"	"Excretion in semisolid state processed by the intestine."
"large intestine"	"habitat"	"logical"	"NCIT:C12379"	"A muscular tube that extends from the end of the small intestine to the anus."
"digestive system"	"habitat"	"logical"	"NCIT:C12378"	"The system that includes the esophagus, stomach, small and large intestine, anus, liver, biliary tract, and pancreas."
"sputum"	"habitat;isolation site"	"logical"	"NCIT:C13278"	"Material containing mucus, cellular debris, microorganisms and sometimes blood or pus. It is ejected through the mouth from the lungs, bronchi, and trachea."
"vagina"	"habitat;isolation site"	"logical"	"NCIT:C12407"	"The female genital canal, extending from the uterus to the vulva."
"bovine"	"isolation site"	"logical"	"FOODON:03414374"	"The biological subfamily *Bovinae* includes a diverse group of 10 genera of medium- to large-sized ungulates, including domestic cattle, the bison, African buffalo, the water buffalo, the yak, and the four-horned and spiral-horned antelopes. The evolutionary relationship between the members of the group is obscure, and their classification into loose tribes rather than formal subgroups reflects this uncertainty. General characteristics include cloven hoofs and usually at least one of the sexes o…"
"insecta"	NA	"logical"	"NCBITaxon:50557"	NA
"food material"	NA	"logical"	"FOODON:00002403"	"Any substance that can be consumed by an organism to satisfy nutritional or other health needs, or to provide a social or organoleptic food experience"
"foregut"	"habitat"	"logical"	"UBERON:0001041"	"Anterior subdivision of a digestive tract."
"lentic water body"	"habitat"	"logical"	"ENVO:01000617"	"A lentic water body is a water body in which the accumulated water, in its totality, has very little to no directed flow."
"endosymbiont"	"habitat"	"logical"	NA	NA
"mine"	"habitat"	"logical"	"ENVO:00000076"	"An excavation in the Earth for the purpose of extracting earth materials."
"metal"	"habitat"	"logical"	"NCIT:C637"	"Electropositive chemical elements characterised by ductility, malleability, luster, and conductance of heat and electricity. They can replace the hydrogen of an acid and form bases with hydroxyl radicals."
"gastrointestinal tract"	"habitat"	"logical"	"FMA:71132"	NA
"mammal"	"habitat"	"logical"	"OMIT:0009396"	NA
"dairy product"	"isolation site"	"logical"	"NCIT:C413"	"Food made from the milk of some mammals, most commonly cows, goats and sheep."
"skin"	"isolation site"	"logical"	"NCIT:C12470"	"An organ that constitutes the external surface of the body. It consists of the epidermis, dermis, and skin appendages."
"cerebral spinal fluid"	"habitat"	"logical"	"ZFA:0001626"	"Portion of organism substance that is a clear fluid that occupies the subarachnoid space and the ventricular system around and inside the brain."
"lotic water body"	"habitat"	"logical"	"ENVO:01000618"	"A lotic water body is a water body in which the accumulated water, in its totality, is flowing."
"animal"	"habitat;isolation site"	"logical"	"NCIT:C14182"	"A living organism that has membranous cell walls, requires oxygen and organic foods, and is capable of voluntary movement, as distinguished from a plant or mineral."
"intertidal zone"	"habitat"	"logical"	"ENVO:00000316"	"The area of the foreshore and seabed that is exposed to the air at low tide and submerged at high tide, i.e., the area between tide marks."
"circulatory system"	"habitat"	"logical"	"SPD:0000611"	NA
"wetland"	"habitat"	"logical"	"ENVO:00000043"	"An vegetated area which overlaps a wetland ecosystem."
"reproductive system"	NA	"logical"	"NCIT:C12841"	"The organs and tissues involved in the production and maturation of gametes and in their union and subsequent development as offspring."
"bird"	NA	"logical"	"IDOMAL:0000980"	"A vertebrate animal of the class Aves."
"chemoorganotroph"	NA	"logical"	"MICRO:0001504"	"A prokaryote capable of carrying out the role of chemoorganotrophy, where the oxidation and reduction of chemical compounds is the energy source, and the electron donor is an organic compound."
"heterotroph"	NA	"logical"	"MICRO:0001450"	"A prokaryote capable of carrying out the role of heterotrophy where the carbon or energy sources are organic compounds."
"lithotroph"	NA	"logical"	"MICRO:0001495"	"A prokaryote capable of carrying out the role of lithotrophy, where the oxidation and reduction of inorganic chemical compounds is the energy source."
"methylotroph"	NA	"logical"	NA	NA
"photoautotroph"	NA	"logical"	"ECOCORE:00000130"	"An autotroph which is capable of transforming light into chemical energy."
"photosynthesis"	NA	"logical"	"NCIT:C16986"	"The process through which light energy, water, and carbon dioxide are converted to carbohydrate and oxygen in the presence of chlorophyll. Occurs in plants, algae, cyanobacteria and lichens. (BioTech Life Science Dictionary)"
"chemoautotroph"	NA	"logical"	"ECOCORE:00000129"	"An autotroph which is capable of obtaining energy from the bonds in a chemical compound."
"chemolithoautotroph"	NA	"logical"	"MICRO:0001500"	"A prokaryote capable of carrying out the role of chemolithoautotrophy, where the oxidation and reduction of chemical compounds is the energy source, the electron donor is an inorganic compound, and the carbon source is carbon dioxide."
"phototroph"	NA	"logical"	"MICRO:0001452"	"A prokaryote capable of carrying out the role of phototrophy, where light is the energy source."
"chemolithotroph"	NA	"logical"	"MICRO:0001499"	"A prokaryote capable of carrying out the role of chemolithotrophy, where the oxidation and reduction of chemical compounds is the energy source, and the electron donor is an inorganic compound."
"chemoheterotroph"	NA	"logical"	"ECOCORE:00000132"	"A heterotroph which is capable of obtaining energy from the bonds in a chemical compound."
"oligotroph"	NA	"logical"	NA	NA
"autotroph"	NA	"logical"	"MICRO:0001446"	"A prokaryote capable of carrying out the role of autotrophy, where carbon dioxide is the source of carbon."
"acidophile"	NA	"logical"	"MICRO:0001390"	"Prokaryote specialized with respect to pH, which grows optimally at moderately acidic pH values (pH 4-6)."
"alkaliphile"	NA	"logical"	"MICRO:0001394"	"Prokaryote specialized with respect to pH, which grows optimally at moderately alkaline pH values (pH 8-10)."
"cellulose degradation"	NA	"logical"	"UPa:UPA00696"	"Degradation of cellulose."
"hydrogen sulfide gas release"	NA	"logical"	NA	NA
"methanogen"	NA	"logical"	"MICRO:0000166"	"Prokaryotic metabolically differentiated cell, specialized for the production of methane. Found only in the archaeal domain of life."
"nitrogen production"	NA	"logical"	NA	NA
"pah degradation"	NA	"logical"	NA	NA
"sulfate-reducing"	NA	"logical"	NA	NA
"sulfur oxidation"	NA	"logical"	"GO:0019417"	"The chemical reactions and pathways resulting the addition of oxygen to elemental sulfur."
"sulfur respiration"	NA	"logical"	"MICRO:0000312"	"The process of anaerobic respiration, where elemental sulfur reduced to hydrogen sulfide."
"ammonia oxidation"	NA	"logical"	"GO:0019329"	"The chemical reactions and pathways by which ammonia or ammonium is converted to molecular nitrogen or another nitrogen compound, with accompanying loss of electrons."
"biomass degradation"	NA	"logical"	NA	NA
"iron-reducing"	NA	"logical"	NA	NA
"nitrogen fixation"	NA	"logical"	"GO:0009399"	"The process in which nitrogen is taken from its relatively inert molecular form (N2) in the atmosphere and converted into nitrogen compounds useful for other chemical processes, such as ammonia, nitrate and nitrogen dioxide."
"stores polyhydroxybutyrate"	NA	"logical"	NA	NA
"carbon dioxide fixation"	NA	"logical"	"GO:0015977"	"A metabolic process in which carbon (usually derived from carbon dioxide) is incorporated into organic compounds (usually carbohydrates)."
"iron oxidation"	NA	"logical"	NA	NA
"tail"	"shape"	"logical"	NA	NA
"staphylococcus"	"shape"	"logical"	"MICRO:0000378"	"A multicellular relationship of prokaryotic cells where the shape of the cells is round (forming a coccus) and the cells are attached to one another end-to-end and side-to-side to form clumps or clusters."
"pathogenic in mammals"	NA	"logical"	NA	NA
"pathogenic in fish"	NA	"logical"	NA	NA
"disease"	NA	"logical"	"EFO:0000408"	"A disease is a disposition to undergo pathological processes that exists in an organism because of one or more disorders in that organism."
"sampling site"	NA	"logical"	"EFO:0000688"	"A site from which a sample, i.e. a statistically representative of the whole, is extracted from the whole. e.g. a liver sample"
"Acne"	"disease association"	"logical"	"NCIT:C27195"	"An inflammatory process of the sebaceous glands which is characterized by comedones, nodules, papules and/or pustules on the skin."
"acrodermatitis"	"disease association"	"logical"	"NCIT:C84532"	"An inflammatory skin condition affecting children. It is often associated with Epstein-Barr virus infection, hepatitis B infection or cytomegalovirus infection. It is characterized by the presence of cutaneous rashes and patches on the palms and soles. The trunk is not affected."
"polyarthritis"	"disease association"	"logical"	"NCIT:C26996"	"An arthritis affecting five or more separate joints"
"heartwater"	"disease association"	"logical"	"OMIT:0007528"	NA
"african tick-bite fever"	"disease association"	"logical"	"MONDO:0000227"	NA
"anaplasmosis"	"disease association"	"logical"	"NCIT:C128425"	"An infection that is caused by Anaplasma phagocytophilum, which is transmitted to humans by infected ticks; it is characterized by fever, headache, chills, and myalgia."
"anemia"	"disease association"	"logical"	"NCIT:C2869"	"A reduction in the number of red blood cells, the amount of hemoglobin, and/or the volume of packed red blood cells. Clinically, anemia represents a reduction in the oxygen-transporting capacity of a designated volume of blood, resulting from an imbalance between blood loss (through hemorrhage or hemolysis) and blood production. Signs and symptoms of anemia may include pallor of the skin and mucous membranes, shortness of breath, palpitations of the heart, soft systolic murmurs, lethargy, and fatigability"
"anthrax"	"disease association"	"logical"	"NCIT:C84565"	"An infection caused by Bacillus anthracis bacteria. It may affect the lungs, gastrointestinal tract, or skin. Patients with lung infection present with fever, headaches, cough, chest pain and shortness of breath. Patients with gastrointestinal infection present with nausea, vomiting and bloody diarrhea. Patients with skin infection develop blisters and ulcers."
"antibiotic-associated diarrhea"	NA	"logical"	"NCIT:C128350"	"Diarrhea that is associated with current or recent antibiotic use."
"colitis"	"disease association"	"logical"	"OMIT:0004401"	NA
"Terrabacteria group"	"disease association"	"logical"	"NCBITaxon:1783272"	NA
"atypical pneumonia"	"disease association"	"logical"	"NCIT:C128338"	"Historical term that references a form of pneumonia caused by Mycoplasma pneumoniae, Chlamydophila pneumoniae, or Legionella species."
"bacillary angiomatosis"	"disease association"	"logical"	"NCIT:C3477"	"A condition that is caused by infection with Bartonella, and which is characterized by vascular proliferation, usually in immunocompromised individuals."
"cat scratch fever"	"disease association"	"logical"	"EFO_0007195"	"Cat scratch disease is an infectious illness caused by the bacteria bartonella (Bartonella henselae). It is believed to be transmitted by cat scratches, bites, or exposure to cat saliva. This self-limiting infectious disease is characterized by a bump or blister at the site of the bite or scratch and swelling and pain in the lymph nodes. Other features may include fatigue, headache, achiness, and fever. Although cat-scratch disease usually subsides without treatment, antibiotic and/or antimicrobial therapy may help speed recovery."
"trench fever"	"disease association"	"logical"	"EFO_0007519"	"An intermittent fever characterized by intervals of chills, fever, and splenomegaly each of which may last as long as 40 hours. It is caused by bartonella quintana and transmitted by the human louse”"
"bacteremia"	"disease association"	"logical"	"NCIT_C102993"	"A laboratory test result that indicates the presence of bacteria in the blood"
"endocarditis"	"disease association;isolation site"	"logical"	"NCIT:C34582"	"Inflammation of the endocardium"
"urinary tract infection"	"disease association;isolation site"	"logical"	"NCIT:C50791"	"A bacterial infectious process affecting any part of the urinary tract, most commonly the bladder and the urethra. Symptoms include urinary urgency and frequency, burning sensation during urination, lower abdominal discomfort, and cloudy urine.”"
"gastroenteritis"	"disease association"	"logical"	"NCIT:C34632"	"An inflammatory disorder that affects the upper and lower gastrointestinal tract. Most commonly, this is attributed to viruses; however bacteria, parasites or adverse reactions can also be the culprit. Symptoms include acute diarrhea and vomiting”"
"meningoencephalitis"	"disease association"	"logical"	"NCIT:C34813"	"Inflammation of the meninges and brain, generally secondary to an infectious cause. Pathogens may be bacterial, viral, fungal, or protozoan."
"abscess"	"disease association;isolation site"	"logical"	"NCIT:C26686"	"An inflammatory process characterized by the accumulation of pus within a newly formed tissue cavity which is the result of a bacterial, fungal, or parasitic infection or the presence of a foreign body"
"pneumonia"	"disease association"	"logical"	"NCIT:C3333"	"An acute, acute and chronic, or chronic inflammation focally or diffusely affecting the lung parenchyma, due to infections (viruses, fungi, mycoplasma, or bacteria), treatment (e.g. radiation), or exposure (inhalation) to chemicals. Symptoms include cough, shortness of breath, fevers, chills, chest pain, headache, sweating, and weakness."
"Blunervirus"	"disease association"	"logical"	"NCBITaxon:2022856"	NA
"kidney disease"	"disease association"	"logical"	"EFO:0003086"	"A disease involving the kidney"
"bacterial leaf blight"	"disease association"	"logical"	"CO_320:0000173"	"The type and severity of bacterial blight symptoms on leaves caused by the bacterial pathogen Xanthomonas oryzae pv. oryzae. Symptoms: lesions usually start near the leaf tip or leaf margins or both, and extend down the outer edge(s). Young lesions are pale green to grayish green, later turning yellow to gray (dead) with time. In very susceptible varieties, lesions may extend to the entire leaf length into the leaf sheath"
"sorghum"	"disease association"	"logical"	"NCBITaxon:4557"	"Hemisorghum"
"Reaction to Leaf spot"	"disease association"	"logical"	"CO_331:0000386"	"The reaction of the plant to leaf spot"
"bacterial vaginosis"	"disease association"	"logical"	"NCIT:C116973"	"Infection caused by bacterial overgrowth in the vagina. Most affected women are asymptomatic. When symptoms occur, they include foul-smelling vaginal discharge, vaginal itching, and burning. Risk factors include sexual activity with multiple partners and the use of vaginal douches and intrauterine devices. Up to a third of cases resolve without treatment. Antibiotic treatment is recommended when symptoms are present and for women that are pregnant at the time of infection."
"bartonellosis"	"disease association"	"logical"	"EFO:0007166"	"An infectious disease produced by bacteria of the genus Bartonella"
"black rot"	NA	"logical"	"CO_331:0000380"	"The reaction of the plant to Black rot"
"canker"	"disease association"	"logical"	"CO_357:0000487"	NA
"blood infection"	"disease association"	"logical"	NA	NA
"respiratory infection"	"disease association"	"logical"	NA	NA
"bordetellosis"	"disease association"	"logical"	"MONDO:0037872"	"Any disease caused by infection with organisms of the genus Bordetella"
"botulism"	"disease association"	"logical"	"NCIT:C84599"	"A serious bacterial infection caused by botulinum toxin which is produced by Clostridium botulinum. Patients are infected usually by ingestion of contaminated food or wound contamination. It leads to muscle paralysis which may result in respiratory failure"
"anaplasmosis"	"disease association"	"logical"	"NCIT:C128425"	"An infection that is caused by Anaplasma phagocytophilum, which is transmitted to humans by infected ticks; it is characterized by fever, headache, chills, and myalgia."
"tuberculosis"	"disease association"	"logical"	"NCIT:C3423"	"A chronic, recurrent infection caused by the bacterium Mycobacterium tuberculosis. Tuberculosis (TB) may affect almost any tissue or organ of the body with the lungs being the most common site of infection. The clinical stages of TB are primary or initial infection, latent or dormant infection, and recrudescent or adult-type TB. Ninety to 95% of primary TB infections may go unrecognized. Histopathologically, tissue lesions consist of granulomas which usually undergo central caseation necrosis. Local symptoms of TB vary according to the part affected; acute symptoms include hectic fever, sweats, and emaciation; serious complications include granulomatous erosion of pulmonary bronchi associated with hemoptysis. If untreated, progressive TB may be associated with a high degree of mortality. This infection is frequently observed in immunocompromised individuals with AIDS or a history of illicit IV drug use"
"brucellosis"	"disease association"	"logical"	"NCIT:C84602"	"A gram negative bacterial infection caused by bacteria of the genus Brucella. Humans are infected by ingesting unpasteurized milk or meat from infected animals. Signs and symptoms include fevers, sweating, weakness, headache, muscle pain, arthritis and anemia"
"abortion"	"disease association"	"logical"	"SYMP:0000197"	"Abortion is a reproductive system symptom resulting in the expulsion of a fetus of a domestic animal often due to infection at any time before completion of pregnancy."
"plague"	"disease association"	"logical"	"NCIT:C85015"	"A Gram-negative bacterial infection caused by Yersinia pestis. It is usually transmitted to humans from bites of infected rodent fleas. It is manifested as a bubonic, septicemic, or pneumonic plague. In bubonic plague, the lymph nodes adjacent to the site of the skin bite are infected and enlarged. In septicemic plague, the infection spreads directly through the bloodstream. In pneumonic plague, the infection spreads to the lungs either following bubonic plague, or by inhalation of infective droplets. If untreated, it may lead to death."
"Mycobacterial Infection"	"disease association"	"logical"	"NCIT:C26831"	"Infection due to organisms from the genus Mycobacteria"
"Caries"	"disease association"	"logical"	"NCIT:C52593"	"The decay of a tooth, in which it becomes softened, discolored, and/or porous"
"Periodontal disorder"	"disease association"	"logical"	"NCIT:C63743"	"An inflammatory process of the gingival tissues and/or periodontal membrane of the teeth, resulting in an abnormally deep gingival sulcus, possibly producing periodontal pockets and loss of alveolar bone support"
"cell lysis"	"disease association"	"logical"	"OBI:0302894"	"cell lysis is a process by which cell membrane integrity of live cells is compromised and leads to cell death. Cell lysis may be achieved by means of viral action or osmotic shock."
"Burkholderia cepacia"	"disease association"	"logical"	"NCBITaxon:292"	NA
"cholera"	"disease association"	"logical"	"NCIT:C157812"	"An acute diarrheal illness caused by consuming water or food contaminated by the bacterium Vibrio cholerae. Adequate rehydration is key to surviving this illness."
"chronic granulomatous disease"	"disease association"	"logical"	"NCIT:C26788"	"A rare genetic disorder with a predominantly X-linked recessive pattern of inheritance resulting in impaired phagocytic clearance of bacteria and fungi. It is caused by a defect in the phagocytic NADPH oxidase (phox) complex. The phagocytes can engulf pathogens but are unable to produce the microbicidal precursors needed to destroy them. Clinical signs of severe disease present in childhood with milder forms later in life. They include recurrent infection especially pneumonia, cervical lymphadenopathy and hepatosplenomegaly. The clinical course includes the appearance of granulomata in the skin and gastrointestinal or genitourinary tracts. The clinical prognosis is dependent on effectively treating and preventing infection"
"respiratory system disease"	"disease association"	"logical"	"EFO:0000684"	"A non-neoplastic or neoplastic disorder that affects the respiratory system. Representative examples include pneumonia, chronic obstructive pulmonary disease, pulmonary failure, lung adenoma, lung carcinoma, and tracheal carcinoma"
"Plant chlorosis"	"disease association"	"logical"	"CO_345:0000033"	NA
"Flavobacterium psychrophilum"	"disease association"	"logical"	"NCBITaxon:96345"	"https://thefishsite.com/articles/rainbow-trout-fry-syndrome-rtfs-explained-1"
"infection caused by Escherichia coli (disorder)"	NA	"logical"	"SNOMED:71057007"	NA
"contagious pleuropneumonia"	"disease association"	"logical"	"MONDO:0005716"	"A pleuropneumonia of cattle and goats caused by species of mycoplasma"
"crown gall"	"disease association"	"logical"	"BTO:0000303"	"A disease that affects many species of plants and is caused by a bacterium (Agrobacterium tumefaciens) which forms tumorous enlargements just below the ground on the stem."
"Microcystis aeruginosa"	"disease association;isolation site"	"logical"	"NCBITaxon:1126"	NA
"gastroenteritis"	"disease association"	"logical"	"NCIT:C34632"	"An inflammatory disorder that affects the upper and lower gastrointestinal tract. Most commonly, this is attributed to viruses; however bacteria, parasites or adverse reactions can also be the culprit. Symptoms include acute diarrhea and vomiting"
"skin irritation"	"disease association"	"logical"	"NCIT:C50743"	"A mild inflammatory dermal tissue reaction; it can be caused by physical contact with an irritant or can be a local response to a systemic trigger."
"cystitis"	"disease association"	"logical"	"NCIT:C26738"	"Inflammation of the urinary bladder"
"diarrhea"	"disease association"	"logical"	"NCIT:C2987"	"Watery bowel movements"
"septicemia"	"disease association"	"logical"	"NCIT:C3364"	"The presence of pathogenic microorganisms in the blood stream causing a rapidly progressing systemic reaction that may lead to shock. Symptoms include fever, chills, tachycardia, and increased respiratory rate. It is a medical emergency that requires urgent medical attention"
"diphtheria"	"disease association"	"logical"	"NCIT:C34541"	"A Gram-positive bacterial infection caused by Corynebacterium diphtheriae. It usually involves the oral cavity, pharynx, and nasal cavity. Patients develop pseudomembranes in the affected areas and manifest signs and symptoms of an upper respiratory infection. The diphtheria toxin may cause myocarditis, polyneuritis, and other systemic effects."
"dysentery"	"disease association"	"logical"	"EFO:1001869"	"Acute inflammation of the intestine associated with infectious diarrhea of various etiologies, generally acquired by eating contaminated food containing toxins, biological derived from bacteria or other microorganisms. Dysentery is characterized initially by watery feces then by bloody mucoid stools. It is often associated with abdominal pain; fever; and dehydration."
"ehrlichiosis"	"disease association"	"logical"	"OMIT:0017306"	NA
"encephalitis"	"disease association"	"logical"	"NCIT:C26760"	"An inflammatory process affecting the brain parenchyma. Causes include viral infections and less frequently bacterial infections, toxins, and immune-mediated processes."
"infection"	"disease association"	"logical"	"EFO:0000544"	"The state of being infected such as from the introduction of a foreign agent such as serum, vaccine, antigenic substance or organism."
"pyelonephritis"	"disease association;isolation site"	"logical"	"NCIT:C34965"	"An inflammatory process affecting the kidney. The cause is most often bacterial, but may also be fungal in nature. Signs and symptoms may include fever, chills, flank pain, painful and frequent urination, cloudy or bloody urine, and confusion"
"typhus"	"disease association"	"logical"	"EFO:0009117"	"A group of infectious diseases that include epidemic typhus, scrub typhus and murine typhus"
"meningitis"	"disease association"	"logical"	"NCIT:C26828"	"A disorder characterized by acute inflammation of the meninges of the brain and/or spinal cord"
"erysipelas"	"disease association"	"logical"	"EFO:1001462"	"An infection of the upper layers of the skin caused by species of streptococcus. Erysipelas results in a fiery red rash with raised edges that can easily be distinguished from the skin around it. The affected skin may be warm to the touch"
"Foodborne Illness"	"disease association"	"logical"	"NCIT:C128351"	"Any disorder that results from the consumption of food contaminated with an infectious agent or toxin"
"typhoid"	"disease association"	"logical"	"Orphanet:99745"	"Typhoid or typhoid fever is a reportable, fecal-oral, potentially fatal infectious disease, caused by the bacteria Salmonella typhi and characterized by a non-focal fever."
"Furunculosis"	"disease association"	"logical"	"NCIT:C34629"	"A skin condition that is characterized by recurring furuncles, lesions primarily caused by staphylococcus aureus infection of the hair follicles and surrounding skin. Furunculosis occurs more frequently in persons with immune systems disorders than in the general population"
"Gangrene"	"disease association"	"logical"	"NCIT:C50573"	"Death of tissue, usually in considerable mass and generally associated with loss of vascular (nutritive) supply and followed by bacterial invasion and putrefaction."
"ulcer"	"disease association"	"logical"	"NCIT:C3426"	"A circumscribed inflammatory and often suppurating lesion on the skin or an internal mucous surface resulting in necrosis of tissue."
"duodenal lesions"	"disease association"	"logical"	"MP:0002580"	"focal pathological changes characterized by alteration in the size, shape and organization of the cellular components of the duodenum epithelium tissue"
