"attribute"	"attribute_group"	"validity"	"ontology"	"description"
"sensitive to kanamycin A"	"antimicrobial resistance"	"logical"	"PHIPO:0000764"	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to kanamycin A. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."
"sensitive to levofloxacin"	"antimicrobial resistance"	"logical"	"PHIPO:0000883"	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to levofloxacin. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."
"sensitive to meropenem"	"antimicrobial resistance"	"logical"	"PHIPO:0000845"	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to meropenem. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."
"sensitive to methicillin"	"antimicrobial resistance"	"logical"	"PHIPO:0000765"	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to methicillin. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."
"sensitive to ofloxacin"	"antimicrobial resistance"	"logical"	"PHIPO:0000830"	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to ofloxacin. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."
"sensitive to penicillin"	"antimicrobial resistance"	"logical"	"PHIPO:0000815"	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to penicillin. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."
"sensitive to piperacillin"	"antimicrobial resistance"	"logical"	"PHIPO:0000842"	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to piperacillin. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."
"sensitive to rifampicin"	"antimicrobial resistance"	"logical"	"PHIPO:0000836"	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to rifampicin. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."
"sensitive to streptomycin"	"antimicrobial resistance"	"logical"	"PHIPO:0000779"	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to streptomycin. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."
"sensitive to tetracycline"	"antimicrobial resistance"	"logical"	"PHIPO:0000882"	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to tetracycline. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."
"sensitive to trimethoprim"	"antimicrobial resistance"	"logical"	"PHIPO:0000781"	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to trimethoprim. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."
"waste water"	"habitat;isolation site"	"logical"	"ENVO:00002001"	"Water that has been adversely affected in quality by anthropogenic influence"
"terrestrial biome"	"habitat"	"logical"	"ENVO:00000446"	"A biome which is primarily or completely situated on a landmass"
"water surface"	"habitat"	"logical"	"ENVO:01001191"	"The surface layer of a volume of water."
"sulfur spring"	"habitat;isolation site"	"logical"	"ENVO:00000126"	"A spring whose water contains a significant amount of dissolved derivatives of sulfur."
"submarine"	"habitat"	"logical"	"ERO:0001431"	"An instrument that is designed to move across or through water and is capable of independent operation below the surface of the water."
"specialized"	"habitat"	"logical"	"NCIT:C44274"	"Developed or designed for a special activity or function"
"soil"	"habitat;isolation site"	"logical"	"ENVO:00001998"	"Soil is an environmental material which is primarily composed of minerals, varying proportions of sand, silt, and clay, organic material such as humus, gases, liquids, and a broad range of resident micro- and macroorganisms"
"volcanic field"	"habitat"	"logical"	"ENVO:00000354"	"A geothermal field which is prone to localized volcanic activity."
"hypersaline salinity"	"habitat"	"logical"	"MICRO:0001293"	"Culture medium salinity quality where the salinity is greater than 5 % salts."
"sludge"	"habitat;isolation site"	"logical"	"ENVO:00002044"	"The residual semi-solid material left from domestic or industrial processes, or wastewater treatment processes."
"sediment"	"habitat;isolation site"	"logical"	"ENVO:00002007"	"Sediment is an environmental substance comprised of any particulate matter that can be transported by fluid flow and which eventually is deposited as a layer of solid particles on the bedor bottom of a body of water or other liquid."
"sea water"	"habitat;isolation site"	"logical"	"ENVO:00002149"	"Water which has physicochemical properties that have been determined by the processes occuring in a sea or ocean."
"saline water"	"isolation site"	"logical"	"ENVO:00002010"	"Water which contains a significant concentration of dissolved salts."
"pond"	"habitat;isolation site"	"logical"	"ENVO:00000033"	"A body of water, usually of smaller size than a lake."
"rhizosphere"	"habitat;isolation site"	"logical"	"ENVO:00005801"	"The narrow region of soil that is directly influenced by root secretions and associated soil microorganisms"
"root nodule"	"habitat"	"logical"	"ENVO:01000164"	"Root nodules occur on the roots of plants that associate with symbiotic nitrogen-fixing bacteria"
"not host-associated"	"host-associated"	"logical"	NA	NA
"multiple"	"habitat"	"logical"	"NCIT:C17648"	"Having, relating to, or consisting of more than one individual, element, part, or other component; manifold."
"mud"	"habitat;isolation site"	"logical"	"ENVO:01000001"	"A liquid or semi-liquid mixture of water and some combination of soil, silt, and clay."
"human microbiome"	"habitat"	"logical"	"OHMI:0000002"	"A microbiome located in a human body"
"marine water body"	"habitat"	"logical"	"ENVO:00001999"	"A significant accumulation of water which is part of a marine biome."
"hydrothermal vent"	"habitat;isolation site"	"logical"	"ENVO:00000215"	"A fissure in the Earths's surface from which geothermally heated water issues"
"hot spring"	"habitat;isolation site"	"logical"	"ENVO:00000051"	"A spring that is produced by the emergence of geothermally-heated groundwater from the Earth's crust"
"colonization of host"	"habitat"	"logical"	"IDO:0000604"	"An establishment of localization in host process in which an organism establishes itself in a host."
"fresh water"	"habitat;isolation site"	"logical"	"ENVO:00002011"	"Water which has a low concentration of dissolved solutes, particularly that of sodium chloride."
"groundwater"	"habitat;isolation site"	"logical"	"ENVO:01001004"	"Underground water which is located in pore spaces found in rock or unconsolidated deposits such as soil, clay, or gravel."
"oil field production water"	"habitat"	"logical"	"ENVO:00002194"	NA
"rice paddies"	"habitat;isolation site"	"logical"	"ENVO:00000296"	"A paddy field for the cultivation of rice"
"ocean trench"	"habitat"	"logical"	"ENVO:00000275"	"Hemispheric-scale long but narrow topographic depressions of the sea floor. They are the deepest parts of the ocean floor"
"dairy"	"habitat"	"logical"	"ENVO:00003862"	"A dairy is a building in which animal milk is harvested and, optionally, processed for human consumption."
"creosote contaminated soil"	"habitat"	"logical"	"ENVO:00002117"	"Soil which has elevated concentrations of creosote."
"aquatic biome"	"habitat"	"logical"	"ENVO:00002030"	"A biome which is determined by a water body and which has ecological climax communities adapted to life in or on water."
"intestinal microflora"	"habitat"	"logical"	"NCIT:C93019"	"Bacteria and other organisms that live inside the intestines. They help digest food. Vitamins such as biotin and vitamin K are made by gut flora."
"air"	"habitat;isolation site"	"logical"	"ENVO:00002005"	"The mixture of gases (roughly (by molar content/volume: 78% nitrogen, 20.95% oxygen, 0.93% argon, 0.038% carbon dioxide, trace amounts of other gases, and a variable amount (average around 1%) of water vapor) that surrounds the planet Earth"
"horse blood agar"	NA	"logical"	"MICRO:0000096"	"A solid microbiological culture medium (a blood agar), containing horse blood"
"10% salts"	"growth medium"	"logical"	NA	NA
"20% salts"	"growth medium"	"logical"	NA	NA
"30% salts"	"growth medium"	"logical"	NA	NA
