NCBI_ID	Rank	Parent_NCBI_ID	Parent_name	Parent_rank
1117109	strain	44250	Paenibacillus alvei	species
1116472	strain	1410681	Methyloglobulus morosus	species
1116391	strain	61624	Paenibacillus mucilaginosus	species
1116389	strain	408174	Devosia insulae	species
1116375	species	662	Vibrio	genus
1116231	strain	59310	Streptococcus macedonicus	species
111590	species	32008	Burkholderia	genus
1115834	species	16	Methylophilus	genus
1115758	species	1501226	Romboutsia	genus
111564	species	211469	Kineosphaera	genus
1115515	strain	566	Pseudescherichia vulneris	species
1115512	strain	565	Atlantibacter hermannii	species
1115511	strain	208962	Escherichia albertii	species
111504	species	773	Bartonella	genus
111501	species	111500	Allomuricauda	genus
111500	genus	49546	Flavobacteriaceae	family
1114981	genus	2975441	Sphaerotilaceae	family
1114980	species	2132	Spiroplasma	genus
1114972	strain	231049	Furfurilactobacillus rossiae	species
1114970	species	286	Pseudomonas	genus
1114969	strain	1747	Cutibacterium acnes	species
1114967	strain	1747	Cutibacterium acnes	species
1114966	strain	1747	Cutibacterium acnes	species
1114965	strain	1318	Streptococcus parasanguinis	species
1114964	strain	1332080	Sphingobium baderi	species
1114963	strain	1420591	Novosphingobium barchaimii	species
1114962	strain	252394	Actinoalloteichus spitiensis	species
1114958	strain	492670	Bacillus velezensis	species
1114880	species	642	Aeromonas	genus
1114874	species	237	Flavobacterium	genus
1114873	species	237	Flavobacterium	genus
1114856	strain	63128	Natronorubrum tibetense	species
1114263	strain	136992	Methylomicrobium lacus	species
1113728	species	59753	Alcanivorax	genus
1113551	species	1827	Rhodococcus	genus
1113550	species	1827	Rhodococcus	genus
111292	species	58050	Moritella	genus
1112912	strain	29461	Brucella suis	species
111291	species	58050	Moritella	genus
1112856	strain	2104	Mycoplasmoides pneumoniae	species
1112273	species	16	Methylophilus	genus
1112267	strain	83554	Chlamydia psittaci	species
1112254	strain	83554	Chlamydia psittaci	species
1112252	strain	83554	Chlamydia psittaci	species
1112250	strain	83554	Chlamydia psittaci	species
1112215	species	235888	Salinibacterium	genus
1112214	species	13687	Sphingomonas	genus
1112212	strain	59803	Sphingomonas echinoides	species
1112209	species	497	Psychrobacter	genus
1112204	strain	84595	Gordonia polyisoprenivorans	species
1112	species	1041	Erythrobacter	genus
1111738	strain	37925	Thermocrispum agreste	species
1111737	strain	37926	Thermocrispum municipale	species
1111736	strain	34071	Telluria mixta	species
1111735	strain	191960	Sedimenticola selenatireducens	species
1111734	strain	1748	Acidipropionibacterium acidipropionici	species
1111733	strain	286638	Massilia alkalitolerans	species
1111732	strain	112009	Ignatzschineria larvae	species
1111731	strain	58116	Glycomyces tenuis	species
1111730	strain	271155	Flavobacterium antarcticum	species
1111729	strain	489915	Corynebacterium sputi	species
1111728	strain	82979	Budvicia aquatica	species
1111678	strain	1359	Lactococcus cremoris	species
1111676	strain	136241	Mycoplasma haemocanis	species
1111479	strain	204470	Alicyclobacillus pomorum	species
1111454	species	906	Megasphaera	genus
111142	genus	72275	Alteromonadaceae	family
1111137	species	84108	Slackia	genus
1111134	species	162289	Peptoniphilus	genus
1111126	species	428711	Jonquetella	genus
1111121	species	1380	Atopobium	genus
1111120	species	904	Acidaminococcus	genus
1111071	strain	81479	Rhodoferax antarcticus	species
1111069	species	270	Thermus	genus
1111068	strain	33941	Geobacillus thermoleovorans	species
111105	species	836	Porphyromonas	genus
1111	genus	335929	Erythrobacteraceae	family
1110697	strain	1824	Nocardia asteroides	species
1110509	strain	301375	Methanothrix harundinacea	species
1110502	strain	171437	Tistrella mobilis	species
1110389	species	364316	Verminephrobacter	genus
111015	species	1654	Actinomyces	genus
1109412	species	71655	Brenneria	genus
110937	species	33886	Rathayibacter	genus
110936	species	33886	Rathayibacter	genus
110935	species	110934	Agreia	genus
110934	genus	85023	Microbacteriaceae	family
110933	species	110932	Leifsonia	genus
110932	genus	85023	Microbacteriaceae	family
1109253	species	1386	Bacillus	genus
1109	genus	1508635	Roseiflexaceae	family
1108969	strain	488731	Burkholderia seminalis	species
1108595	species	535	Chromobacterium	genus
110845	species	3076175	Phocicoccus	genus
1108045	strain	83341	Gordonia rhizosphera	species
1108044	strain	249058	Gordonia otitidis	species
1108	species	1107	Chloroflexus	genus
1107882	strain	475067	Mesorhizobium alhagi	species
1107880	strain	1245	Leuconostoc mesenteroides	species
1107315	species	1485	Clostridium	genus
1107311	strain	1341165	Flavobacterium enshiense	species
